Authors	Title	Citation	DOI	Year	Month	0	1	2	3	FINDINGS	Reported	Correction Date	Retraction	Correction	No Action	"SUM 
Completed"
"Corine Bertolotto, Fabienne Lesueur, Sandy Giuliano, Thomas Strub, Mahaut de Lichy, Karine Bille, Philippe Dessen, and many others"	A SUMOylation-defective MITF germline mutation predisposes to melanoma and renal carcinoma	"Nature, 2011 Oct 19;480(7375):94-8"	10.1038/nature10539	2011				1		Overlapping microscopy images	1	3/3/2016		1		1
"Feng Zhou, Qibing Lin, Lihong Zhu, Yulong Ren, Kunneng Zhou, Nitzan Shabek, Fuqing Wu, Haibin Mao, Wei Dong, Lu Gan, Weiwei Ma, He Gao, Jun Chen, Chao Yang, Dan Wang, Junjie Tan, Xin Zhang, Xiuping Guo, Jiulin Wang, Ling Jiang, Xi Liu, Weiqi Chen, Jinfang Chu, Cunyu Yan, Kotomi Ueno, Shinsaku Ito, Tadao Asami, Zhijun Cheng, Jie Wang, Cailin Lei, Huqu Zhai, Chuanyin Wu, Haiyang Wang, Ning Zheng, and Jianmin Wan"	D14–SCFD3-dependent degradation of D53 regulates strigolactone signalling	"Nature, Vol 504, 19/26 DECEMBER 2013"	10.1038/nature12878	2013					1	"Duplicated microscopy, possible duplicated lanes in same blot"	1	4/21/2016		1		1
"S Kale, R Raja, D Thorat, G Soundararajan, TV Patil and GC Kundu"	Osteopontin signaling upregulates cyclooxygenase-2 expression in tumor-associated macrophages leading to enhanced angiogenesis and melanoma growth via a9b1 integrin	"Oncogene (2014) 33, 2295–2306"	10.1038/onc.2013.184	2013				1		"Overlapping microscopy images, multiple cases"	1	10/16/2015		1		1
"CM Das, P Taylor, M Gireud, A Singh, D Lee, G Fuller, L Ji, J Fangusaro, V Rajaram, S Goldman, C Eberhart, and V Gopalakrishnan"	The deubiquitylase USP37 links REST to the control of p27 stability and cell proliferation	"Oncogene (2013) 32, 1691–1701"	10.1038/onc.2012.182	2012			1			Duplicated blot	1	11/24/2016		1		1
"CC Jiang, A Croft, H-Y Tseng, ST Guo, L Jin, P Hersey, and XD Zhang"	Repression of microRNA-768-3p by MEK/ERK signalling contributes to enhanced mRNA translation in human melanoma	"Oncogene (2014) 33, 2577–2588"	10.1038/onc.2013.237	2013					1	Duplicated bands within same blot panel	1	11/17/2016		1		1
"Z Zhang, X Liu, B Feng, N Liu, Q Wu, Y Han, Y Nie, K Wu, Y Shi, and D Fan"	"STIM1, a direct target of microRNA-185, promotes tumor metastasis and is associated with poor prognosis in colorectal cancer"	"Oncogene (2014), 1–13"	10.1038/onc.2014.404	2014				1		Overlapping microscopy images	1	11/17/2016		1		1
"T-I Hsu, S-C Lin, P-S Lu, W-C Chang, C-Y Hung, Y-M Yeh, W-C Su, P-C Liao, and J-J Hung"	MMP7-mediated cleavage of nucleolin at Asp255 induces MMP9 expression to promote tumor malignancy	"Oncogene (2015) 34, 826–837"	10.1038/onc.2014.22	2014				1		Overlapping microscopy images	1	2/9/2017		1		1
"Emmanuel Dornier, Franck Coumailleau, Jean-Franc_ois Ottavi, Julien Moretti, Claude Boucheix, Philippe Mauduit, François Schweisguth, and Eric Rubinstein 1"	TspanC8 tetraspanins regulate ADAM10/Kuzbanian trafficking and promote Notch activation in flies and mammals	J. Cell Biol. Vol. 199 No. 3 481–496	 10.1083/jcb.201201133	2012					1	Manipulated FACS plots	1	5/23/2016		1		1
"HIROFUMI YAMAMOTO, RYOTA OSHIRO, MASAHISA OHTSUKA, MAMORU UEMURA, NAOTSUGU HARAGUCHI, JUNICHI NISHIMURA, ICHIRO TAKEMASA, TSUNEKAZU MIZUSHIMA, YUICHIRO DOKI and MASAKI MORI"	Distinct expression of C4.4A in colorectal cancer detected by different antibodies	"INTERNATIONAL JOURNAL OF ONCOLOGY 42: 197-201, 2013"	10.3892/ijo.2012.1714	2012			1			Duplicated blot	1	9/16/2016		1		1
"BO LI, YUEHUA YANG, SHENGDAN JIANG, BINBIN NI, KE CHEN, and LEISHENG JIANG"	Adenovirus-mediated overexpression of BMP-9 inhibits human osteosarcoma cell growth and migration through downregulation of the PI3K/AKT pathway	"INTERNATIONAL JOURNAL OF ONCOLOGY 41: 1809-1819, 2012"	10.3892/ijo.2012.1617	2012			1			Duplicated blot panel	1	9/28/2016		1		1
